internet, rede global de computadores
avião, veículo mais pesado que o ar que voa
futebol, esporte jogado com uma bola e pés
telescópio, instrumento óptico para observar objetos distantes
espelho, superfície refletora de luz
bicicleta, veículo de duas rodas impulsionado por pedaladas
astronomia, estudo dos corpos celestes
dinossauro, animal extinto que viveu na Terra há milhões de anos
televisão, aparelho para transmissão de imagens e som
computação, ciência da informática
banana, fruta alongada com casca amarela
tecnologia, conjunto de conhecimentos e técnicas
piano, instrumento musical de teclas
arco-íris, fenômeno óptico com cores no céu
dinheiro, meio de troca e unidade de valor
oceanografia, estudo dos oceanos
sorvete, sobremesa gelada
satélite, objeto que orbita um planeta
jardim, área cultivada com plantas
dinheiro, meio de troca e unidade de valor
esquilo, roedor arborícola
travesseiro, objeto para apoio da cabeça durante o sono
caneta, instrumento de escrita
avião, veículo mais pesado que o ar que voa
navio, embarcação para navegação
foguete, veículo espacial impulsionado por motores
cachorro, animal de estimação
escultura, arte de modelar formas tridimensionais
bola, objeto esférico usado em diversos esportes
tempo, conceito de passagem contínua de eventos
guitarra, instrumento musical de cordas
galáxia, sistema massivo de estrelas
palavra, unidade básica de linguagem
camiseta, peça de vestuário
estátua, obra de arte esculpida
mochila, saco usado para transportar objetos nas costas
telegrama, mensagem transmitida por serviço telegráfico
ocelote, felino selvagem da América
computador, máquina que processa dados
elefante, animal de grande porte com tromba
praia, lugar onde a areia encontra o mar
abacaxi, fruta tropical com casca espinhosa
programação, atividade de escrever códigos de computador
girafa, animal com pescoço longo
ocelote, felino selvagem da América
chocolate, doce feito de cacau
montanha, elevação natural da superfície terrestre
deserto, vasta região com pouca vegetação
esponja, objeto absorvente usado na limpeza
sinfonia, composição musical para orquestra
calendário, sistema de organização do tempo
planeta, corpo celeste que orbita uma estrela
computador, máquina que processa dados
telepatia, comunicação mental sem uso de palavras
bússola, instrumento de orientação
algoritmo, conjunto de regras para solucionar problemas
esfinge, figura mitológica com cabeça humana e corpo de leão
maratona, corrida de longa distância
helicóptero, aeronave com rotor
bisonte, mamífero herbívoro de grandes dimensões
escorpião, aracnídeo com cauda e ferrão venenoso
microscópio, instrumento para observar objetos pequenos
xícara, recipiente para bebidas quentes
quadro, obra de arte pintada ou desenhada
templo, local de adoração religiosa
quasar, objeto astronômico distante e luminoso
velocidade, medida de rapidez
caverna, cavidade natural em rochas
telegrama, mensagem transmitida por serviço telegráfico
radiografia, imagem obtida por raios-X
cachecol, acessório de vestuário para o pescoço
química, ciência dos átomos e moléculas
paralelepípedo, sólido geométrico com seis faces paralelas
telefone, aparelho de comunicação por voz a distância
cometa, corpo celeste composto por gelo e poeira
bambu, planta de caule oco
espiral, forma geométrica que se desenvolve em torno de um ponto central
enigma, mistério ou quebra-cabeça
estufa, construção para cultivar plantas
galáxia, conjunto vasto de sistemas estelares
lanterna, objeto para produzir luz
retrato, representação artística de uma pessoa
vulcão, abertura na crosta terrestre com saída de magma
teatro, forma de expressão artística
fantasma, suposta aparição de espírito
biscoito, produto de confeitaria
jogador, participante de um jogo ou esporte
caligrafia, arte de escrever à mão
câmera, dispositivo para capturar imagens
radiação, emissão de energia em forma de ondas ou partículas
serenata, música tocada ao ar livre à noite
telescópio, instrumento óptico para observar objetos distantes
quadrado, figura geométrica com quatro lados iguais
fóssil, resto preservado de um organismo antigo
nebulosa, nuvem de gás e poeira no espaço
ambulância, veículo de socorro médico
avião, meio de transporte aéreo
pneu, componente de borracha de um veículo
xícara, recipiente para bebidas quentes
velocidade, medida de rapidez
planeta, corpo celeste que orbita uma estrela
computador, máquina que processa dados
telepatia, comunicação mental sem uso de palavras
bússola, instrumento de orientação
algoritmo, conjunto de regras para solucionar problemas
esfinge, figura mitológica com cabeça humana e corpo de leão
maratona, corrida de longa distância
helicóptero, aeronave com rotor
bisonte, mamífero herbívoro de grandes dimensões
escorpião, aracnídeo com cauda e ferrão venenoso
microscópio, instrumento para observar objetos pequenos
quadro, obra de arte pintada ou desenhada
templo, local de adoração religiosa
quasar, objeto astronômico distante e luminoso
velocidade, medida de rapidez
caverna, cavidade natural em rochas
telegrama, mensagem transmitida por serviço telegráfico
radiografia, imagem obtida por raios-X
cachecol, acessório de vestuário para o pescoço
química, ciência dos átomos e moléculas
paralelepípedo, sólido geométrico com seis faces paralelas
telefone, aparelho de comunicação por voz a distância
cometa, corpo celeste composto por gelo e poeira
bambu, planta de caule oco
espiral, forma geométrica que se desenvolve em torno de um ponto central
enigma, mistério ou quebra-cabeça
estufa, construção para cultivar plantas
galáxia, conjunto vasto de sistemas estelares
lanterna, objeto para produzir luz
retrato, representação artística de uma pessoa
vulcão, abertura na crosta terrestre com saída de magma
teatro, forma de expressão artística
fantasma, suposta aparição de espírito
biscoito, produto de confeitaria
jogador, participante de um jogo ou esporte
caligrafia, arte de escrever à mão
câmera, dispositivo para capturar imagens
radiação, emissão de energia em forma de ondas ou partículas
serenata, música tocada ao ar livre à noite
telescópio, instrumento óptico para observar objetos distantes
quadrado, figura geométrica com quatro lados iguais
fóssil, resto preservado de um organismo antigo
nebulosa, nuvem de gás e poeira no espaço
ambulância, veículo de socorro médico
escultura, arte de modelar formas tridimensionais
cúpula, estrutura em forma de abóbada
lápis, instrumento de escrita
mangueira, tubo flexível para condução de líquidos
pássaro, animal alado
oceano, extensão de água salgada
sabonete, produto de higiene pessoal
pirâmide, estrutura geométrica de base triangular
vinho, bebida fermentada
castelo, fortificação medieval
espelho, superfície refletora de luz
temporada, período específico de tempo
cacto, planta suculenta
piano, instrumento musical de teclas
dinheiro, meio de troca e unidade de valor
aldeia, comunidade rural
comida, sustento nutritivo
cachorro-quente, lanche com salsicha e pão
lente, elemento óptico
ciência, conhecimento sistemático
planalto, área elevada de terra
ponte, estrutura para atravessar um curso d'água
grama, planta rasteira
escova, utensílio para limpeza
risada, expressão de alegria
televisão, aparelho para transmissão de imagens e som
navegação, deslocamento por meio de água
ouro, metal precioso
amizade, relação afetiva entre pessoas
sonho, experiência mental durante o sono
castanha, semente comestível
raios, descargas elétricas atmosféricas
aviador, piloto de aeronave
porta, abertura em uma parede
sorvete, sobremesa gelada
bolsa, acessório para carregar objetos
oceano, extensão de água salgada
amarelo, cor vibrante
amuleto, objeto considerado portador de sorte
jardim, área cultivada com plantas
biblioteca, local de armazenamento de livros
bateria, fonte de energia elétrica
fantasia, criação imaginária
piada, narrativa humorística
carrossel, brinquedo giratório
maçã, fruta de polpa comestível
tecnologia, conjunto de conhecimentos e técnicas
martelo, ferramenta para bater em objetos
aviador, pessoa que pilota aeronaves
aurora, fenômeno luminoso no céu
saxofone, instrumento de sopro
astronauta, profissional que viaja ao espaço
cacto, planta adaptada a ambientes secos
plâncton, organismos microscópicos aquáticos
língua, órgão muscular na boca
quarentena, período de isolamento
binóculo, instrumento óptico para observação
fogão, aparelho para cozinhar alimentos
relâmpago, descarga elétrica atmosférica
café, bebida estimulante
geleira, massa de gelo em movimento
pintura, forma de arte visual
escalada, atividade de subir montanhas
estetoscópio, instrumento médico para auscultar
comida, substância ingerida para nutrição
carrossel, brinquedo giratório
cilindro, sólido com superfícies curvas
futebol, esporte de equipe com bola
ferradura, peça metálica para cascos de cavalos
neve, cristais de gelo que caem do céu
cenoura, vegetal alaranjado comestível
óculos, acessório para corrigir visão
escalope, carne fina e achatada
esfinge, figura mitológica com enigma
espetáculo, apresentação artística
tartaruga, réptil com casco
magnetismo, força atraente entre objetos
joalheria, comércio de joias
colina, elevação de terreno
aniversário, celebração do nascimento
submarino, embarcação submersível
escola, instituição de ensino
heliotropo, planta que segue a luz solar
telescópio, instrumento para observação astronômica
piano, instrumento de teclas
radiador, dispositivo de aquecimento
hidroavião, aeronave que opera na água
pérola, gema produzida por moluscos
ponte, estrutura que atravessa obstáculos
bisonte, mamífero herbívoro de grande porte
crepúsculo, período entre o dia e a noite
sublime, qualidade de grandeza ou beleza
xícara, recipiente para bebidas
oceano, vasta extensão de água salgada
risada, expressão sonora de alegria
míssil, projétil guiado
televisão, aparelho de transmissão de imagens
cama, móvel para dormir
templo, local de culto religioso
câncer, doença celular anormal
relógio, dispositivo para medir o tempo
pintor, artista que cria obras visuais
ginástica, exercícios físicos
foguete, veículo espacial impulsionado
cachecol, acessório para aquecer o pescoço
diamante, pedra preciosa
vulcão, abertura na crosta terrestre
computação, ciência da informática
explosão, liberação súbita de energia
anjo, ser celestial benevolente
tapete, peça de decoração
gôndola, embarcação veneziana
teia, estrutura de aranhas
química, ciência dos elementos
espectro, gama de cores
paz, estado de tranquilidade
escova, utensílio de higiene pessoal
quadro, obra de arte
bateria, fonte de energia elétrica
concha, invólucro de molusco
jornada, período de trabalho
sorvete, sobremesa gelada
impressora, dispositivo de reprodução
nuvem, massa de partículas suspensas
ruído, som indesejado
céu, atmosfera acima da Terra
leão, felino selvagem
telegrama, mensagem telegráfica
conquista, realização notável
floresta, grande área arborizada
cadeira, assento para uma pessoa
eclipse, ocultação de astros
luz, radiação visível
porta, abertura em parede
bússola, instrumento de orientação
código, sistema de símbolos
viagem, deslocamento de um lugar a outro
vela, fonte de luz
oásis, área fértil em ambiente desértico
hamburguer, alimento de carne moída
selva, floresta tropical
coliseu, antigo anfiteatro romano
